,Country,Happiness Score_2015,Happiness Score_2016,Happiness Score_2017,Happiness Score_2018,Happiness Score_2019,Avg Happiness
0,Switzerland,7.587000000000001,7.5089999999999995,7.49399995803833,7.487,7.48,7.511399991607666
1,Iceland,7.561,7.501,7.50400018692017,7.495,7.494,7.511000037384034
2,Denmark,7.527,7.526,7.52199983596802,7.555,7.6,7.545999967193604
3,Norway,7.522,7.497999999999999,7.537000179290769,7.593999999999999,7.553999999999999,7.541000035858154
4,Canada,7.4270000000000005,7.404,7.31599998474121,7.327999999999999,7.278,7.350599996948242
5,Finland,7.406000000000001,7.412999999999999,7.468999862670901,7.632000000000001,7.769,7.537799972534181
6,Netherlands,7.377999999999999,7.3389999999999995,7.3769998550415,7.441,7.4879999999999995,7.4045999710083
7,Sweden,7.364,7.291,7.28399991989136,7.314,7.343,7.319199983978272
8,New Zealand,7.2860000000000005,7.334,7.31400012969971,7.324,7.307,7.313000025939942
9,Australia,7.284,7.313,7.28399991989136,7.272,7.228,7.276199983978271
10,Israel,7.278,7.267,7.212999820709231,6.814,7.138999999999999,7.142199964141847
11,Costa Rica,7.226,7.087000000000001,7.0789999961853,7.072,7.167000000000001,7.126199999237061
12,Austria,7.2,7.119,7.00600004196167,7.138999999999999,7.246,7.142000008392334
13,Mexico,7.187,6.778,6.57800006866455,6.4879999999999995,6.595,6.725200013732911
14,United States,7.119,7.104,6.993000030517581,6.886,6.892,6.998800006103517
15,Brazil,6.983,6.952000000000001,6.6350002288818395,6.419,6.3,6.6578000457763675
16,Luxembourg,6.946000000000001,6.871,6.86299991607666,6.91,7.09,6.935999983215332
17,Ireland,6.94,6.907,6.9770002365112305,6.977,7.021,6.964400047302246
18,Belgium,6.937,6.928999999999999,6.89099979400635,6.9270000000000005,6.922999999999999,6.92139995880127
19,United Arab Emirates,6.901,6.5729999999999995,6.6479997634887695,6.774,6.825,6.744199952697754
20,United Kingdom,6.867000000000001,6.725,6.71400022506714,7.19,7.053999999999999,6.910000045013429
22,Venezuela,6.81,6.084,5.25,4.806,4.707,5.5314
23,Singapore,6.797999999999999,6.739,6.57200002670288,6.343,6.2620000000000005,6.542800005340576
24,Panama,6.7860000000000005,6.7010000000000005,6.4520001411438,6.43,6.321000000000001,6.53800002822876
25,Germany,6.75,6.994,6.9510002136230495,6.965,6.985,6.92900004272461
26,Chile,6.67,6.705,6.65199995040894,6.476,6.444,6.5893999900817875
27,Qatar,6.611000000000001,6.375,6.375,6.374,6.374,6.4218
28,France,6.575,6.478,6.44199991226196,6.489,6.5920000000000005,6.515199982452392
29,Argentina,6.574,6.65,6.59899997711182,6.388,6.086,6.4593999954223635
30,Czech Republic,6.505,6.596,6.60900020599365,6.711,6.852,6.654600041198731
31,Uruguay,6.485,6.545,6.4539999961853,6.379,6.292999999999999,6.4311999992370605
32,Colombia,6.477,6.481,6.35699987411499,6.26,6.125,6.339999974822997
33,Thailand,6.455,6.474,6.4239997863769505,6.072,6.007999999999999,6.28659995727539
34,Saudi Arabia,6.4110000000000005,6.379,6.343999862670901,6.371,6.375,6.37599997253418
35,Spain,6.329,6.361000000000001,6.40299987792969,6.31,6.354,6.351399975585938
36,Malta,6.3020000000000005,6.4879999999999995,6.52699995040894,6.627000000000001,6.726,6.533999990081787
38,Kuwait,6.295,6.239,6.10500001907349,6.082999999999999,6.021,6.148600003814698
41,El Salvador,6.13,6.068,6.002999782562259,6.167000000000001,6.252999999999999,6.124199956512452
42,Guatemala,6.122999999999999,6.324,6.4539999961853,6.382000000000001,6.436,6.34379999923706
