Countries,Indicators,avg (2014-2018)
Algeria,Population (in thousands),40564
Angola,Population (in thousands),28859
Benin,Population (in thousands),10879
Botswana,Population (in thousands),2166
Burkina Faso,Population (in thousands),18658
Burundi,Population (in thousands),10499
Cabo Verde Republic of,Population (in thousands),531
Cameroon,Population (in thousands),23938
Central African Republic,Population (in thousands),4551
Chad,Population (in thousands),14566
Comoros,Population (in thousands),796
Congo,Population (in thousands),4986
Côte d'Ivoire,Population (in thousands),23841
Democratic Republic of the Congo,Population (in thousands),78854
Equatorial Guinea,Population (in thousands),1215
Eritrea,Population (in thousands),3379
Eswatini,Population (in thousands),1115
Ethiopia,Population (in thousands),103632
Gabon,Population (in thousands),2005
Gambia,Population (in thousands),2151
Ghana,Population (in thousands),28489
Guinea,Population (in thousands),11761
Guinea-Bissau,Population (in thousands),1783
Kenya,Population (in thousands),49049
Lesotho,Population (in thousands),2075
Liberia,Population (in thousands),4588
Madagascar,Population (in thousands),24910
Malawi,Population (in thousands),17211
Mali,Population (in thousands),17986
Mauritania,Population (in thousands),4165
Mauritius,Population (in thousands),1262
Mozambique,Population (in thousands),27861
Namibia,Population (in thousands),2359
Niger,Population (in thousands),20815
Nigeria,Population (in thousands),186050
Rwanda,Population (in thousands),11681
Sao Tome and Principe,Population (in thousands),203
Senegal,Population (in thousands),15004
Seychelles,Population (in thousands),96
Sierra Leone,Population (in thousands),7331
South Africa,Population (in thousands),56188
South Sudan,Population (in thousands),10943
Togo,Population (in thousands),7512
Uganda,Population (in thousands),39736
United Republic of Tanzania,Population (in thousands),53093
Zambia,Population (in thousands),16370
Zimbabwe,Population (in thousands),14021
Antigua and Barbuda,Population (in thousands),94
Argentina,Population (in thousands),43504
Bahamas,Population (in thousands),378
Barbados,Population (in thousands),286
Belize,Population (in thousands),368
Bolivia Plurinational States of ,Population (in thousands),11031
Brazil,Population (in thousands),206140
Canada,Population (in thousands),36376
Chile,Population (in thousands),18227
Colombia,Population (in thousands),48247
Costa Rica,Population (in thousands),4898
Cuba,Population (in thousands),11329
Dominica,Population (in thousands),71
Dominican Republic,Population (in thousands),10397
Ecuador,Population (in thousands),16505
El Salvador,Population (in thousands),6357
Grenada,Population (in thousands),110
Guatemala,Population (in thousands),16584
Guyana,Population (in thousands),771
Haiti,Population (in thousands),10838
Honduras,Population (in thousands),9271
Jamaica,Population (in thousands),2906
Mexico,Population (in thousands),123303
Nicaragua,Population (in thousands),6304
Panama,Population (in thousands),4038
Paraguay,Population (in thousands),6778
Peru,Population (in thousands),30984
Saint Kitts and Nevis,Population (in thousands),52
Saint Lucia,Population (in thousands),180
Saint Vincent and the Grenadines,Population (in thousands),110
Suriname,Population (in thousands),565
Trinidad and Tobago,Population (in thousands),1377
United States of America,Population (in thousands),322950
Uruguay,Population (in thousands),3425
Venezuela (Bolivarian Republic of),Population (in thousands),29653
Afghanistan,Population (in thousands),35327
Bahrain,Population (in thousands),1439
Djibouti,Population (in thousands),929
Egypt,Population (in thousands),94436
Iran,Population (in thousands),79599
Iraq,Population (in thousands),36516
Jordan,Population (in thousands),9498
Kuwait,Population (in thousands),3935
Lebanon,Population (in thousands),6637
Morocco,Population (in thousands),35119
Oman,Population (in thousands),4454
Pakistan,Population (in thousands),203700
Qatar,Population (in thousands),2637
Saudi Arabia,Population (in thousands),32376
Sudan,Population (in thousands),39618
Tunisia,Population (in thousands),11309
United Arab Emirates,Population (in thousands),9391
Yemen,Population (in thousands),26161
Albania,Population (in thousands),2888
Andorra,Population (in thousands),78
Armenia,Population (in thousands),2934
Austria,Population (in thousands),8678
Azerbaijan,Population (in thousands),9732
Belarus,Population (in thousands),9444
Belgium,Population (in thousands),11296
Bosnia and Herzegovina,Population (in thousands),3395
Bulgaria,Population (in thousands),7151
Croatia,Population (in thousands),4185
Cyprus,Population (in thousands),854
Czech Republic,Population (in thousands),10559
Denmark,Population (in thousands),5705
Estonia,Population (in thousands),1316
Finland,Population (in thousands),5495
France,Population (in thousands),66598
Georgia,Population (in thousands),4017
Germany,Population (in thousands),81891
Greece,Population (in thousands),10816
Hungary,Population (in thousands),9828
Iceland,Population (in thousands),332
Ireland,Population (in thousands),4731
Israel,Population (in thousands),8113
Italy,Population (in thousands),60663
Kazakhstan,Population (in thousands),17821
Kyrgyzstan,Population (in thousands),6074
Latvia,Population (in thousands),1968
Lithuania,Population (in thousands),2882
Luxembourg,Population (in thousands),576
Malta,Population (in thousands),451
Monaco,Population (in thousands),38
Montenegro,Population (in thousands),628
Netherlands,Population (in thousands),16994
Norway,Population (in thousands),5208
Poland,Population (in thousands),37988
Portugal,Population (in thousands),10349
Republic of Moldova,Population (in thousands),3551
Romania,Population (in thousands),19751
Russian Federation,Population (in thousands),145238
San Marino,Population (in thousands),33
Serbia,Population (in thousands),7076
Slovakia,Population (in thousands),5428
Slovenia,Population (in thousands),2064
Spain,Population (in thousands),46518
Sweden,Population (in thousands),9872
Switzerland,Population (in thousands),8322
Tajikistan,Population (in thousands),8670
The Republic of North Macedonia,Population (in thousands),2081
Turkey,Population (in thousands),79809
Turkmenistan,Population (in thousands),5661
Ukraine,Population (in thousands),44696
United Kingdom,Population (in thousands),65340
Uzbekistan,Population (in thousands),31447
Bangladesh,Population (in thousands),157963
Bhutan,Population (in thousands),737
India,Population (in thousands),1324318
Indonesia,Population (in thousands),261478
Maldives,Population (in thousands),476
Myanmar,Population (in thousands),53020
Nepal,Population (in thousands),27383
Sri Lanka,Population (in thousands),21015
Thailand,Population (in thousands),68953
Timor-Leste,Population (in thousands),1220
Australia,Population (in thousands),24255
Brunei Darussalam,Population (in thousands),420
Cambodia,Population (in thousands),15764
China,Population (in thousands),1413804
Cook Islands,Population (in thousands),18
Fiji,Population (in thousands),874
Japan,Population (in thousands),127724
Kiribati,Population (in thousands),113
Lao People's Democratic Republic,Population (in thousands),6848
Malaysia,Population (in thousands),30691
Marshall Islands,Population (in thousands),58
Micronesia (Federated States of),Population (in thousands),110
Mongolia,Population (in thousands),3056
Nauru,Population (in thousands),10
New Zealand,Population (in thousands),4657
Niue,Population (in thousands),2
Palau,Population (in thousands),18
Papua New Guinea,Population (in thousands),8274
Philippines,Population (in thousands),103623
Republic of Korea,Population (in thousands),50937
Samoa,Population (in thousands),194
Singapore,Population (in thousands),5647
Solomon Islands,Population (in thousands),620
Tonga,Population (in thousands),102
Tuvalu,Population (in thousands),11
Vanuatu,Population (in thousands),278
Viet Nam,Population (in thousands),93636
