Countries,Indicators,2014,2015,2016,2017,2018,avg (2014-2018)
Algeria,Capital health expenditure,,18,,,,18
Algeria,Population (in thousands),38924,39728,40551,41389,42228,40564
Angola,Population (in thousands),26942,27884,28842,29817,30810,28859
Benin,Capital health expenditure,67,21,,,,44
Benin,Population (in thousands),10287,10576,10872,11175,11485,10879
Botswana,Capital health expenditure,2,3,28,22,,14
Botswana,Population (in thousands),2089,2121,2160,2205,2254,2166
Burkina Faso,Capital health expenditure,52,24,20,52,56,41
Burkina Faso,Population (in thousands),17586,18111,18646,19193,19751,18658
Burundi,Capital health expenditure,3,3,9,,,5
Burundi,Population (in thousands),9844,10160,10488,10827,11175,10499
Cabo Verde Republic of,Capital health expenditure,4,13,6,,,8
Cabo Verde Republic of,Population (in thousands),518,525,531,537,544,531
Cameroon,Capital health expenditure,120,176,,164,164,156
Cameroon,Population (in thousands),22682,23298,23927,24566,25216,23938
Central African Republic,Capital health expenditure,,0,0,1,5,1
Central African Republic,Population (in thousands),4464,4493,4538,4596,4666,4551
Chad,Population (in thousands),13664,14111,14562,15017,15478,14566
Comoros,Population (in thousands),759,777,796,814,832,796
Congo,Capital health expenditure,494,31,14,17,9,113
Congo,Population (in thousands),4737,4856,4981,5111,5244,4986
Côte d'Ivoire,Capital health expenditure,148,173,192,146,249,182
Côte d'Ivoire,Population (in thousands),22648,23226,23823,24437,25069,23841
Democratic Republic of the Congo,Capital health expenditure,29,64,60,42,29,45
Democratic Republic of the Congo,Population (in thousands),73767,76245,78789,81399,84068,78854
Equatorial Guinea,Capital health expenditure,111,55,,,,83
Equatorial Guinea,Population (in thousands),1122,1169,1215,1262,1309,1215
Eritrea,Population (in thousands),3311,3343,3377,3413,3453,3379
Eswatini,Capital health expenditure,,,,25,,25
Eswatini,Population (in thousands),1095,1104,1114,1125,1136,1115
Ethiopia,Capital health expenditure,263,,,257,,260
Ethiopia,Population (in thousands),98094,100835,103603,106400,109224,103632
Gabon,Capital health expenditure,132,82,22,20,60,63
Gabon,Population (in thousands),1884,1948,2008,2065,2119,2005
Gambia,Capital health expenditure,,2,1,,,2
Gambia,Population (in thousands),2024,2086,2149,2214,2280,2151
Ghana,Capital health expenditure,132,21,91,19,,66
Ghana,Population (in thousands),27224,27849,28482,29121,29767,28489
Guinea,Capital health expenditure,23,47,34,,,35
Guinea,Population (in thousands),11151,11432,11738,12068,12414,11761
Guinea-Bissau,Capital health expenditure,,1,1,3,,2
Guinea-Bissau,Population (in thousands),1692,1737,1782,1828,1874,1783
Kenya,Capital health expenditure,,,198,,,198
Kenya,Population (in thousands),46700,47878,49052,50221,51393,49049
Lesotho,Capital health expenditure,12,18,3,6,,10
Lesotho,Population (in thousands),2043,2059,2075,2092,2108,2075
Liberia,Capital health expenditure,,,8,0,,4
Liberia,Population (in thousands),4360,4472,4587,4702,4819,4588
Madagascar,Population (in thousands),23590,24234,24894,25571,26262,24910
Malawi,Capital health expenditure,0,19,,,,9
Malawi,Population (in thousands),16290,16745,17205,17670,18143,17211
Mali,Capital health expenditure,45,32,43,,,40
Mali,Population (in thousands),16934,17439,17965,18512,19078,17986
Mauritania,Capital health expenditure,41,32,156,22,,63
Mauritania,Population (in thousands),3931,4046,4164,4283,4403,4165
Mauritius,Capital health expenditure,25,,14,,,20
Mauritius,Population (in thousands),1257,1259,1262,1264,1267,1262
Mozambique,Capital health expenditure,,83,,,,83
Mozambique,Population (in thousands),26286,27042,27830,28649,29496,27861
Namibia,Capital health expenditure,63,48,43,37,,48
Namibia,Population (in thousands),2273,2315,2358,2403,2448,2359
Niger,Capital health expenditure,78,39,30,27,44,44
Niger,Population (in thousands),19240,20002,20789,21602,22443,20815
Nigeria,Capital health expenditure,767,176,768,494,,552
Nigeria,Population (in thousands),176405,181137,185960,190873,195875,186050
Rwanda,Population (in thousands),11084,11369,11669,11981,12302,11681
Sao Tome and Principe,Capital health expenditure,2,1,2,2,,2
Sao Tome and Principe,Population (in thousands),196,199,203,207,211,203
Senegal,Capital health expenditure,64,59,56,,,60
Senegal,Population (in thousands),14175,14578,14994,15419,15854,15004
Seychelles,Capital health expenditure,6,2,3,42,,13
Seychelles,Population (in thousands),94,95,96,96,97,96
Sierra Leone,Capital health expenditure,13,,,,,13
Sierra Leone,Population (in thousands),7017,7172,7329,7488,7650,7331
South Africa,Capital health expenditure,663,,,,,663
South Africa,Population (in thousands),54544,55386,56208,57010,57793,56188
South Sudan,Capital health expenditure,,,,16,,16
South Sudan,Population (in thousands),,,,10911,10976,10943
Togo,Capital health expenditure,5,5,4,,,5
Togo,Population (in thousands),7138,7323,7510,7698,7889,7512
Uganda,Capital health expenditure,49,42,,,,45
Uganda,Population (in thousands),36912,38225,39649,41167,42729,39736
United Republic of Tanzania,Capital health expenditure,85,19,32,,,45
United Republic of Tanzania,Population (in thousands),49961,51483,53049,54660,56313,53093
Zambia,Capital health expenditure,4,1,1,,,2
Zambia,Population (in thousands),15400,15879,16363,16854,17352,16370
Zimbabwe,Capital health expenditure,,2,,,,2
Zimbabwe,Population (in thousands),13587,13815,14030,14237,14439,14021
Antigua and Barbuda,Capital health expenditure,,1,2,0,0,1
Antigua and Barbuda,Population (in thousands),93,94,95,95,96,94
Argentina,Capital health expenditure,181,148,177,62,,142
Argentina,Population (in thousands),42638,43075,43508,43937,44361,43504
Bahamas,Capital health expenditure,,,,,10,10
Bahamas,Population (in thousands),371,374,378,382,386,378
Barbados,Capital health expenditure,6,8,8,4,10,7
Barbados,Population (in thousands),285,285,286,286,287,286
Belize,Capital health expenditure,1,1,0,2,0,1
Belize,Population (in thousands),353,361,368,376,383,368
Bolivia Plurinational States of ,Capital health expenditure,261,322,328,223,,284
Bolivia Plurinational States of ,Population (in thousands),10707,10870,11032,11193,11353,11031
Brazil,Capital health expenditure,9161,4966,4882,8820,,6957
Brazil,Population (in thousands),202764,204472,206163,207834,209469,206140
Canada,Capital health expenditure,7832,7198,6314,6256,10642,7648
Canada,Population (in thousands),35664,36027,36383,36732,37075,36376
Chile,Capital health expenditure,660,783,756,679,732,722
Chile,Population (in thousands),17759,17969,18209,18470,18729,18227
Colombia,Capital health expenditure,3279,,0,,,1639
Colombia,Population (in thousands),46968,47521,48175,48910,49661,48247
Costa Rica,Capital health expenditure,101,120,143,154,151,134
Costa Rica,Population (in thousands),4795,4848,4899,4950,4999,4898
Cuba,Capital health expenditure,103,190,294,313,301,240
Cuba,Population (in thousands),11307,11325,11335,11339,11338,11329
Dominica,Capital health expenditure,2,0,1,7,1,2
Dominica,Population (in thousands),71,71,71,71,72,71
Dominican Republic,Capital health expenditure,58,120,108,250,222,152
Dominican Republic,Population (in thousands),10165,10282,10398,10513,10627,10397
Ecuador,Capital health expenditure,751,28,263,283,,331
Ecuador,Population (in thousands),15952,16212,16491,16785,17084,16505
El Salvador,Capital health expenditure,6,,497,107,85,174
El Salvador,Population (in thousands),6295,6325,6356,6388,6421,6357
Grenada,Capital health expenditure,1,3,2,3,2,2
Grenada,Population (in thousands),109,110,110,111,111,110
Guatemala,Capital health expenditure,117,56,29,47,76,65
Guatemala,Population (in thousands),15923,16252,16583,16915,17248,16584
Guyana,Capital health expenditure,10,5,1,11,13,8
Guyana,Population (in thousands),763,767,771,775,779,771
Haiti,Capital health expenditure,31,32,22,37,23,29
Haiti,Population (in thousands),10549,10696,10840,10982,11123,10838
Honduras,Capital health expenditure,63,43,60,32,20,44
Honduras,Population (in thousands),8956,9113,9271,9429,9588,9271
Jamaica,Capital health expenditure,20,21,31,30,17,24
Jamaica,Population (in thousands),2875,2891,2906,2921,2935,2906
Mexico,Capital health expenditure,1232,898,894,814,1024,972
