,Country,Avg Happiness,Avg Family
0,Switzerland,7.511399991607666,1.417332349014282
1,Iceland,7.511000037384034,1.4928128014068602
2,Denmark,7.545999967193604,1.4476883185043339
3,Norway,7.541000035858154,1.431074711914062
4,Canada,7.350599996948242,1.3874117982788081
5,Finland,7.537799972534181,1.4344293450164798
6,Netherlands,7.4045999710083,1.349645844657898
7,Sweden,7.319199983978272,1.3685744338912962
8,New Zealand,7.313000025939942,1.439729024734498
9,Australia,7.276199983978271,1.4090063904266361
10,Israel,7.142199964141847,1.3219179927444462
11,Costa Rica,7.126199999237061,1.3151607302474981
12,Austria,7.142000008392334,1.36396299269104
13,Mexico,6.725200013732911,1.0829944319458
14,United States,6.998800006103517,1.3285701127395622
15,Brazil,6.6578000457763675,1.323311200904846
16,Luxembourg,6.935999983215332,1.343240733169556
17,Ireland,6.964400047302246,1.445056223068238
18,Belgium,6.92139995880127,1.3574925396728517
19,United Arab Emirates,6.744199952697754,1.069860046318054
20,United Kingdom,6.910000045013429,1.3679320160293582
21,Oman,,
22,Venezuela,5.5314,1.323263518997192
23,Singapore,6.542800005340576,1.2310788726959219
24,Panama,6.53800002822876,1.2881625097503662
25,Germany,6.92900004272461,1.359526070281982
26,Chile,6.5893999900817875,1.202872990768432
27,Qatar,6.4218,1.1697073759536738
28,France,6.515199982452392,1.3182473703308102
29,Argentina,6.4593999954223635,1.330960229034424
30,Czech Republic,6.654600041198731,1.32484904334259
31,Uruguay,6.4311999992370605,1.315311573806762
32,Colombia,6.339999974822997,1.30261058733368
33,Thailand,6.28659995727539,1.3123204911346438
34,Saudi Arabia,6.37599997253418,1.1813795197906498
35,Spain,6.351399975585938,1.3994661804656983
36,Malta,6.533999990081787,1.386846332992554
37,Taiwan,,
38,Kuwait,6.148600003814698,1.184643749717712
39,Suriname,,
40,Trinidad and Tobago,,
41,El Salvador,6.124199956512452,1.097989018310546
42,Guatemala,6.34379999923706,1.141467038726806
43,Uzbekistan,6.0462000389099115,1.434099829917908
44,Slovakia,6.108400009918212,1.3797458484497078
45,Japan,5.9258000152587895,1.326999565727234
46,South Korea,5.885399964141846,1.046190888153076
47,Ecuador,5.991999979400633,1.157387762741088
48,Bahrain,6.113799978637696,1.24346409224701
49,Italy,6.022400045013428,1.334672656333924
50,Bolivia,5.813199990844726,1.0951638103866579
51,Moldova,5.758599964141846,1.1454851142120361
52,Paraguay,5.666600006103516,1.38403297593689
53,Kazakhstan,5.838399953460694,1.2972438031387319
54,Slovenia,5.887999979400634,1.3622997641525258
55,Lithuania,5.929799990081788,1.367415221321106
56,Nicaragua,6.027400019836426,1.193653141937256
57,Peru,5.728400030517578,1.105782076957702
58,Belarus,5.597999953460694,1.338153043235778
59,Poland,5.980800009918212,1.331608394065856
60,Malaysia,5.904000022125244,1.132825206848144
61,Croatia,5.458600044250488,0.959862601486206
62,Libya,5.597000019073485,1.215988866020202
63,Russia,5.798599964141846,1.337812477737426
64,Jamaica,5.661999974060058,1.2907916128616344
65,North Cyprus,,
66,Cyprus,5.732799962615966,1.0291026545333861
67,Algeria,5.667600043487548,1.07420549308014
68,Kosovo,5.606199961090089,1.014490700645446
69,Turkmenistan,5.582200005340576,1.365799832267762
70,Mauritius,5.7066000373840335,1.148144198066712
71,Hong Kong,,
72,Estonia,5.637800012207032,1.363242219932556
73,Indonesia,5.2520000167846685,1.131154939857482
74,Vietnam,5.154599976348876,1.138384266220092
75,Turkey,5.4154,1.18024863533783
76,Kyrgyzstan,5.173400037384034,1.27074571823883
77,Nigeria,5.127399976348877,1.009614096603394
78,Bhutan,5.124800031280518,1.201687302886962
79,Azerbaijan,5.22920004119873,1.03175005104065
80,Pakistan,5.344000010681151,0.6088301379127502
81,Jordan,5.179599993133545,1.1290337785873419
82,Montenegro,5.291999997711182,1.1051352996444699
83,China,5.218999952697754,1.033679482376098
84,Zambia,4.584399987792968,0.932381459754944
85,Romania,5.698399961853028,1.043000258094788
86,Serbia,5.339199996185302,1.1666239594802859
87,Portugal,5.304600034332276,1.2620126036682122
88,Latvia,5.676199980926514,1.27391698839569
89,Philippines,5.387399965667724,1.154569514976502
90,Somaliland region,,
91,Morocco,5.172200026702879,0.6761528870391846
92,Macedonia,,
93,Mozambique,,
94,Albania,4.712600010681152,0.7549310495796204
95,Bosnia and Herzegovina,5.161800032043457,0.9844331875
96,Lesotho,,
97,Dominican Republic,5.199400003814698,1.282279341217042
98,Laos,,
99,Mongolia,5.02919998474121,1.3862882472381597
100,Swaziland,,
101,Greece,5.152400047302247,1.056294914543152
102,Lebanon,5.149599980926514,0.9948948495101921
103,Hungary,5.329399976348876,1.2575846183853139
104,Honduras,5.240800046539306,1.058876995742798
105,Tajikistan,5.097799977874756,1.02942265499115
106,Tunisia,4.728399965667724,0.7620582919006349
107,Palestinian Territories,4.736600019073486,1.0523034317245479
108,Bangladesh,4.580199960327148,0.6383363481140136
109,Iran,4.689199982452392,0.6515182498054505
110,Ukraine,4.307200038909912,1.28288951361847
111,Iraq,4.528400043487548,0.8681106395606994
112,South Africa,4.67519999923706,1.2581997264785758
113,Ghana,4.536399977111816,0.7621469473495484
114,Zimbabwe,4.006600000000001,1.007727181632996
115,Liberia,3.8391999984741227,0.7890655873222353
116,India,4.297800011444092,0.5881165193481446
117,Sudan,,
118,Haiti,3.8655999851226803,0.616215964389801
119,Congo (Kinshasa),4.346400041961671,1.0595966913146981
120,Nepal,4.812399978637695,1.038952652259826
121,Ethiopia,4.4232000076293945,0.766209840751648
122,Sierra Leone,4.5592000221252444,0.844369208995819
123,Mauritania,4.354999963378907,1.0789061660766601
124,Kenya,4.449399994659424,0.972022145111084
125,Djibouti,,
126,Armenia,4.39319998550415,0.890872744155884
127,Botswana,3.830000006484986,1.107410998916626
128,Myanmar,4.383000015258789,0.9774191881866461
129,Georgia,4.338799954986572,0.481344986793518
130,Malawi,3.883000005722046,0.43438176628875735
131,Sri Lanka,4.392600011444092,1.141171277404786
132,Cameroon,4.695800034332276,0.8520216437988282
133,Bulgaria,4.6186000450134275,1.2987878916854858
134,Egypt,4.37520002670288,0.8613202784309388
135,Yemen,3.6257999870300304,0.8654484493942259
136,Angola,,
137,Mali,4.219000011444092,1.1036126796417238
138,Congo (Brazzaville),4.377399977874757,0.7165868726043702
139,Comoros,,
140,Uganda,4.020199970245362,1.066325547561646
141,Senegal,4.393999969482422,1.036208382148742
142,Gabon,4.407800030517578,1.02631604346466
143,Niger,4.104599975585939,0.8023950009727479
144,Cambodia,4.205400044250488,0.876219668266296
145,Tanzania,3.465999995422364,0.939379960662842
146,Madagascar,3.745400010681152,0.7732360744781493
147,Central African Republic,,
148,Chad,4.003400021743774,0.8038511744308471
149,Guinea,3.853599993896484,0.6375789371299745
150,Ivory Coast,4.2731999656677235,0.7863380060501097
151,Burkina Faso,4.07380001296997,0.9357400010910041
152,Afghanistan,3.512799982070922,0.40975266527557375
153,Rwanda,3.4385999912261958,0.7884534046287536
154,Benin,3.90100001296997,0.3404699687099456
155,Syria,3.292199978637696,0.3559305214500428
156,Burundi,3.078999994277954,0.4708167168693541
157,Togo,3.5441999771118162,0.3235665060901642
