Country,Avg Happiness,Avg. Unemployment
Switzerland,7.511399991607666,2.8884
Iceland,7.511000037384035,3.2234000000000003
Denmark,7.5459999671936036,5.65
Norway,7.541000035858153,4.213800000000001
Canada,7.350599996948242,6.3468
Finland,7.537799972534182,8.3266
Netherlands,7.4045999710083,4.999599999999999
Sweden,7.319199983978272,6.825
New Zealand,7.313000025939942,4.705
Australia,7.276199983978271,5.5566
Israel,7.142199964141848,4.42
Costa Rica,7.126199999237062,10.5612
Austria,7.142000008392334,5.334999999999999
Mexico,6.725200013732912,3.6957999999999998
United States,6.998800006103518,4.410200000000001
Brazil,6.657800045776368,11.298199999999998
Luxembourg,6.935999983215332,5.848599999999999
Ireland,6.964400047302246,7.158199999999999
Belgium,6.92139995880127,6.951599999999999
United Kingdom,6.910000045013429,4.515
Singapore,6.542800005340577,2.1
Panama,6.53800002822876,5.9403999999999995
Germany,6.929000042724611,3.8198
Chile,6.589399990081788,6.9156
France,6.515199982452392,9.4652
Argentina,6.459399995422364,8.475
Czech Republic,6.654600041198732,3.224
Uruguay,6.4311999992370605,8.1234
Colombia,6.339999974822997,9.5384
Thailand,6.2865999572753894,1.0399999999999998
Saudi Arabia,6.37599997253418,5.763199999999999
Spain,6.351399975585937,17.6556
Malta,6.533999990081787,4.2766
El Salvador,6.124199956512452,6.8458
Japan,5.9258000152587895,2.8216
Ecuador,5.9919999794006324,4.426
Bahrain,6.113799978637696,3.714
Italy,6.022400045013428,11.0716
Bolivia,5.813199990844726,4.0
Moldova,5.758599964141847,4.2524
Paraguay,5.666600006103517,5.951400000000001
Kazakhstan,5.838399953460693,4.9188
Slovenia,5.887999979400633,6.659999999999999
Lithuania,5.929799990081787,7.2906
Nicaragua,6.027400019836426,5.1374
Peru,5.728400030517577,6.6816
Belarus,5.597999953460693,0.6839999999999999
Poland,5.980800009918213,5.134600000000001
Malaysia,5.904000022125244,3.3249999999999993
Croatia,5.458600044250488,12.414800000000001
Russia,5.798599964141847,5.140000000000001
Jamaica,5.661999974060057,11.035
Cyprus,5.732799962615966,10.865000000000002
Algeria,5.667600043487548,11.306999999999999
Kosovo,5.6061999610900894,29.24
Mauritius,5.7066000373840335,7.18
Estonia,5.637800012207032,5.705
Indonesia,5.2520000167846685,5.582
Vietnam,5.154599976348876,2.258
Turkey,5.4154,11.350800000000001
Azerbaijan,5.22920004119873,4.9508
Pakistan,5.344000010681151,5.5012
Jordan,5.179599993133545,16.865000000000002
China,5.218999952697754,3.878
Romania,5.698399961853028,5.148
Serbia,5.339199996185301,14.476200000000002
Portugal,5.304600034332276,9.1668
Latvia,5.676199980926514,8.3916
Philippines,5.387399965667724,5.575
Morocco,5.172200026702879,9.6614
Albania,4.712600010681152,13.959999999999999
Bosnia and Herzegovina,5.161800032043457,21.54
Dominican Republic,5.199400003814699,6.348000000000001
Mongolia,5.02919998474121,8.82
Greece,5.1524000473022475,21.305
Hungary,5.329399976348876,4.6422
Honduras,5.240800046539307,4.2986
Tunisia,4.728399965667723,15.3732
Ukraine,4.3072000389099125,9.1486
South Africa,4.675199999237059,27.07
Armenia,4.3931999855041495,19.360000000000003
Georgia,4.3387999549865714,13.26
Sri Lanka,4.392600011444092,4.500000000000001
Bulgaria,4.618600045013428,6.505800000000001
Egypt,4.375200026702879,11.470600000000001
