Unnamed: 0,Country,Happiness Score_2015,Happiness Score_2016,Happiness Score_2017,Happiness Score_2018,Happiness Score_2019,Avg Happiness,Unemp. Rate_2015,Unemp. Rate_2016,Unemp. Rate_2017,Unemp. Rate_2018,Unemp. Rate_2019,Avg. Unemployment
0,Switzerland,7.5870000000000015,7.508999999999999,7.49399995803833,7.487,7.48,7.511399991607666,3.178,3.323,3.088,2.547,2.306,2.8884
1,Iceland,7.561,7.501,7.50400018692017,7.495,7.494,7.511000037384035,3.992,3.008,2.825,2.742,3.55,3.2234000000000003
2,Denmark,7.527,7.526,7.52199983596802,7.555,7.6,7.5459999671936036,6.283,6.0,5.808,5.117,5.042,5.65
3,Norway,7.522,7.497999999999998,7.537000179290769,7.5939999999999985,7.5539999999999985,7.541000035858153,4.531,4.74,4.216,3.854,3.728,4.213800000000001
4,Canada,7.427,7.404,7.31599998474121,7.3279999999999985,7.278,7.350599996948242,6.9,6.992,6.342,5.833,5.667,6.3468
5,Finland,7.4060000000000015,7.4129999999999985,7.468999862670901,7.6320000000000014,7.769,7.537799972534182,9.575,8.975,8.825,7.425,6.833,8.3266
6,Netherlands,7.377999999999999,7.338999999999999,7.3769998550415,7.441,7.487999999999999,7.4045999710083,6.891,6.024,4.854,3.839,3.39,4.999599999999999
7,Sweden,7.364,7.291,7.28399991989136,7.314,7.343,7.319199983978272,7.4,6.95,6.683,6.325,6.767,6.825
8,New Zealand,7.286,7.334,7.31400012969971,7.324,7.307,7.313000025939942,5.35,5.1,4.725,4.275,4.075,4.705
9,Australia,7.284,7.313,7.28399991989136,7.272,7.228,7.276199983978271,6.05,5.7,5.583,5.292,5.158,5.5566
10,Israel,7.278,7.267,7.212999820709231,6.814,7.1389999999999985,7.142199964141848,5.25,4.825,4.225,4.0,3.8,4.42
11,Costa Rica,7.226,7.0870000000000015,7.0789999961853,7.072,7.167000000000002,7.126199999237062,9.604,9.541,9.293,11.951,12.417,10.5612
12,Austria,7.2,7.119,7.00600004196167,7.1389999999999985,7.246,7.142000008392334,5.742,6.042,5.508,4.883,4.5,5.334999999999999
13,Mexico,7.187,6.778,6.57800006866455,6.488,6.595,6.725200013732912,4.349,3.883,3.423,3.331,3.493,3.6957999999999998
14,United States,7.119,7.104,6.993000030517581,6.886,6.892,6.998800006103518,5.275,4.875,4.342,3.892,3.667,4.410200000000001
15,Brazil,6.983,6.952000000000001,6.63500022888184,6.419,6.3,6.657800045776368,8.283,11.258,12.767,12.258,11.925,11.298199999999998
16,Luxembourg,6.9460000000000015,6.871,6.86299991607666,6.91,7.09,6.935999983215332,6.636,6.256,5.845,5.105,5.401,5.848599999999999
17,Ireland,6.94,6.907,6.977000236511231,6.977,7.021,6.964400047302246,9.933,8.4,6.725,5.775,4.958,7.158199999999999
18,Belgium,6.937,6.9289999999999985,6.89099979400635,6.9270000000000005,6.922999999999999,6.92139995880127,8.483,7.842,7.117,5.958,5.358,6.951599999999999
20,United Kingdom,6.867000000000001,6.725,6.71400022506714,7.19,7.0539999999999985,6.910000045013429,5.375,4.875,4.425,4.075,3.825,4.515
23,Singapore,6.797999999999999,6.739,6.57200002670288,6.343,6.2620000000000005,6.542800005340577,1.9,2.075,2.175,2.1,2.25,2.1
24,Panama,6.7860000000000005,6.7010000000000005,6.4520001411438,6.43,6.3210000000000015,6.53800002822876,5.052,5.494,6.13,5.956,7.07,5.9403999999999995
25,Germany,6.75,6.994,6.9510002136230495,6.965,6.985,6.929000042724611,4.633,4.158,3.758,3.417,3.133,3.8198
26,Chile,6.67,6.705,6.65199995040894,6.476,6.444,6.589399990081788,6.328,6.685,6.965,7.377,7.223,6.9156
28,France,6.575,6.478,6.44199991226196,6.489,6.5920000000000005,6.515199982452392,10.367,10.042,9.425,9.025,8.467,9.4652
29,Argentina,6.574,6.65,6.59899997711182,6.388,6.086,6.459399995422364,6.533,8.467,8.35,9.2,9.825,8.475
30,Czech Republic,6.505,6.596,6.60900020599365,6.711,6.852,6.654600041198732,5.04,3.946,2.89,2.243,2.001,3.224
31,Uruguay,6.485,6.545,6.4539999961853,6.379,6.292999999999998,6.4311999992370605,7.533,7.867,7.925,8.367,8.925,8.1234
32,Colombia,6.477,6.481,6.35699987411499,6.26,6.125,6.339999974822997,8.908,9.217,9.367,9.683,10.517,9.5384
33,Thailand,6.455,6.474,6.423999786376951,6.072,6.007999999999999,6.2865999572753894,0.9,1.0,1.2,1.1,1.0,1.0399999999999998
34,Saudi Arabia,6.4110000000000005,6.379,6.343999862670901,6.371,6.375,6.37599997253418,5.591,5.6,6.0,6.0,5.625,5.763199999999999
35,Spain,6.329,6.3610000000000015,6.40299987792969,6.31,6.354,6.351399975585937,22.058,19.635,17.225,15.255,14.105,17.6556
36,Malta,6.3020000000000005,6.488,6.52699995040894,6.627000000000002,6.726,6.533999990081787,5.392,4.7,4.0,3.658,3.633,4.2766
41,El Salvador,6.13,6.068,6.0029997825622585,6.167000000000002,6.252999999999999,6.124199956512452,7.0,7.1,7.049,6.347,6.733,6.8458
45,Japan,5.987,5.921,5.92000007629395,5.915,5.886,5.9258000152587895,3.375,3.108,2.825,2.442,2.358,2.8216
47,Ecuador,5.975,5.976,6.00799989700317,5.973,6.028,5.9919999794006324,4.77,5.21,4.62,3.69,3.84,4.426
48,Bahrain,5.96,6.218,6.08699989318848,6.105,6.199,6.113799978637696,3.358,3.7,3.58,3.932,4.0,3.714
49,Italy,5.948,5.977,5.96400022506714,6.0,6.223,6.022400045013428,11.908,11.65,11.275,10.625,9.9,11.0716
50,Bolivia,5.89,5.822,5.82299995422363,5.752000000000002,5.779,5.813199990844726,4.0,4.0,4.0,4.0,4.0,4.0
51,Moldova,5.8889999999999985,5.897,5.837999820709231,5.64,5.529,5.758599964141847,5.016,4.226,3.939,2.961,5.12,4.2524
52,Paraguay,5.877999999999999,5.5379999999999985,5.493000030517581,5.681,5.7429999999999986,5.666600006103517,5.351,5.998,6.086,6.236,6.086,5.951400000000001
53,Kazakhstan,5.855,5.919,5.8189997673034695,5.79,5.809,5.838399953460693,5.11,4.951,4.9,4.854,4.779,4.9188
54,Slovenia,5.848,5.768,5.75799989700317,5.948,6.1179999999999986,5.887999979400633,8.992,8.008,6.575,5.125,4.6,6.659999999999999
55,Lithuania,5.832999999999998,5.813,5.90199995040894,5.952000000000001,6.149,5.929799990081787,9.119,7.861,7.073,6.146,6.254,7.2906
56,Nicaragua,5.8279999999999985,5.992000000000001,6.07100009918213,6.141,6.105,6.027400019836426,5.909,4.481,3.67,5.5,6.127,5.1374
57,Peru,5.824,5.7429999999999986,5.71500015258789,5.6629999999999985,5.697,5.728400030517577,6.49,6.742,6.876,6.7,6.6,6.6816
58,Belarus,5.813,5.8020000000000005,5.5689997673034695,5.483,5.323,5.597999953460693,0.912,1.017,0.768,0.428,0.295,0.6839999999999999
59,Poland,5.791,5.835,5.97300004959106,6.122999999999998,6.182,5.980800009918213,7.499,6.161,4.888,3.846,3.279,5.134600000000001
60,Malaysia,5.77,6.005,6.08400011062622,6.322,5.339,5.904000022125244,3.15,3.45,3.425,3.325,3.275,3.3249999999999993
61,Croatia,5.759,5.488,5.2930002212524405,5.3210000000000015,5.432,5.458600044250488,17.067,14.958,12.433,9.858,7.758,12.414800000000001
63,Russia,5.716,5.856,5.962999820709231,5.81,5.648,5.798599964141847,5.575,5.525,5.2,4.8,4.6,5.140000000000001
64,Jamaica,5.709,5.51,5.31099987030029,5.89,5.89,5.661999974060057,13.5,13.2,11.65,9.125,7.7,11.035
66,Cyprus,5.689,5.546,5.62099981307983,5.7620000000000005,6.046,5.732799962615966,14.9,12.95,11.05,8.35,7.075,10.865000000000002
67,Algeria,5.605,6.355,5.8720002174377415,5.295,5.211,5.667600043487548,11.214,10.498,11.709,11.731,11.383,11.306999999999999
68,Kosovo,5.589,5.401,5.27899980545044,5.662000000000001,6.1,5.6061999610900894,32.9,27.5,30.5,29.6,25.7,29.24
70,Mauritius,5.477,5.648,5.62900018692017,5.891,5.888,5.7066000373840335,7.9,7.3,7.1,6.9,6.7,7.18
72,Estonia,5.4289999999999985,5.517,5.61100006103516,5.739,5.893,5.637800012207032,6.185,6.758,5.763,5.371,4.448,5.705
73,Indonesia,5.399,5.314,5.26200008392334,5.093,5.192,5.2520000167846685,6.18,5.61,5.5,5.34,5.28,5.582
74,Vietnam,5.36,5.061,5.07399988174438,5.103,5.175,5.154599976348876,2.33,2.33,2.21,2.21,2.21,2.258
75,Turkey,5.332000000000002,5.3889999999999985,5.5,5.483,5.372999999999998,5.4154,10.279,10.907,10.904,10.955,13.709,11.350800000000001
79,Azerbaijan,5.2120000000000015,5.291,5.2340002059936515,5.2010000000000005,5.207999999999998,5.22920004119873,4.958,5.043,4.961,4.944,4.848,4.9508
80,Pakistan,5.194,5.1320000000000014,5.26900005340576,5.472,5.653,5.344000010681151,5.9,5.958,6.018,5.55,4.08,5.5012
