,Country,Happiness Score_2015,Happiness Score_2016,Happiness Score_2017,Happiness Score_2018,Happiness Score_2019,Avg Happiness,ContinentName,City,CapitalLatitude,CapitalLongitude,Temp,Cloudiness,Wind Speed,Humidity
0,Switzerland,7.5870000000000015,7.508999999999999,7.49399995803833,7.487,7.48,7.511399991607666,Europe,Bern,46.91666666666666,7.466667,37.62,22.0,1.14,100.0
1,Iceland,7.561,7.501,7.50400018692017,7.495,7.494,7.511000037384035,Europe,Reykjavik,64.15,-21.95,31.78,0.0,7.0,80.0
2,Denmark,7.527,7.526,7.52199983596802,7.555,7.6,7.5459999671936036,Europe,Copenhagen,55.66666666666666,12.583333,37.13,90.0,10.36,93.0
3,Norway,7.522,7.497999999999998,7.537000179290769,7.5939999999999985,7.5539999999999985,7.541000035858153,Europe,Oslo,59.91666666666666,10.75,34.43,100.0,1.99,85.0
4,Canada,7.427,7.404,7.31599998474121,7.3279999999999985,7.278,7.350599996948242,Central America,Ottawa,45.41666666666666,-75.7,17.37,90.0,2.3,92.0
5,Finland,7.4060000000000015,7.4129999999999985,7.468999862670901,7.6320000000000014,7.769,7.537799972534182,Europe,Helsinki,60.16666666666666,24.933332999999998,23.04,40.0,5.75,74.0
6,Netherlands,7.377999999999999,7.338999999999999,7.3769998550415,7.441,7.487999999999999,7.4045999710083,Europe,Amsterdam,52.35,4.9166669999999995,48.65,0.0,11.5,81.0
7,Sweden,7.364,7.291,7.28399991989136,7.314,7.343,7.319199983978272,Europe,Stockholm,59.33333333333334,18.05,35.51,90.0,9.22,93.0
8,New Zealand,7.286,7.334,7.31400012969971,7.324,7.307,7.313000025939942,Australia,Wellington,-41.3,174.783333,69.13,5.0,21.85,68.0
9,Australia,7.284,7.313,7.28399991989136,7.272,7.228,7.276199983978271,Australia,Canberra,-35.266666666666666,149.133333,82.62,0.0,5.75,41.0
10,Israel,7.278,7.267,7.212999820709231,6.814,7.1389999999999985,7.142199964141848,,,,,,,,
11,Costa Rica,7.226,7.0870000000000015,7.0789999961853,7.072,7.167000000000002,7.126199999237062,Central America,San Jose,9.933333333333334,-84.083333,55.81,40.0,13.8,72.0
12,Austria,7.2,7.119,7.00600004196167,7.1389999999999985,7.246,7.142000008392334,Europe,Vienna,48.2,16.366667,37.81,98.0,3.44,93.0
13,Mexico,7.187,6.778,6.57800006866455,6.488,6.595,6.725200013732912,Central America,Mexico City,19.433333333333334,-99.133333,69.39,1.0,9.22,18.0
14,United States,7.119,7.104,6.993000030517581,6.886,6.892,6.998800006103518,Central America,Washington,38.883333,-77.0,29.19,100.0,1.28,84.0
15,Brazil,6.983,6.952000000000001,6.63500022888184,6.419,6.3,6.657800045776368,,,,,,,,
16,Luxembourg,6.9460000000000015,6.871,6.86299991607666,6.91,7.09,6.935999983215332,,,,,,,,
17,Ireland,6.94,6.907,6.977000236511231,6.977,7.021,6.964400047302246,Europe,Dublin,53.31666666666667,-6.233333,54.57,20.0,4.61,72.0
18,Belgium,6.937,6.9289999999999985,6.89099979400635,6.9270000000000005,6.922999999999999,6.92139995880127,Europe,Brussels,50.83333333333334,4.3333330000000005,50.54,0.0,9.22,81.0
19,United Arab Emirates,6.901,6.573,6.6479997634887695,6.774,6.825,6.744199952697754,Asia,Abu Dhabi,24.466666666666665,54.36666700000001,70.03,20.0,5.75,83.0
20,United Kingdom,6.867000000000001,6.725,6.71400022506714,7.19,7.0539999999999985,6.910000045013429,Europe,London,51.5,-0.083333,54.18,70.0,10.36,67.0
21,Venezuela,6.81,6.084,5.25,4.806,4.707,5.5314,South America,Caracas,10.483333333333333,-66.866667,62.87,21.0,3.44,89.0
22,Singapore,6.797999999999999,6.739,6.57200002670288,6.343,6.2620000000000005,6.542800005340577,Asia,Singapore,1.2833333333333332,103.85,80.31,75.0,11.5,74.0
23,Panama,6.7860000000000005,6.7010000000000005,6.4520001411438,6.43,6.3210000000000015,6.53800002822876,Central America,Panama City,8.966666666666667,-79.533333,77.0,90.0,4.61,88.0
24,Germany,6.75,6.994,6.9510002136230495,6.965,6.985,6.929000042724611,Europe,Berlin,52.51666666666666,13.4,34.63,0.0,3.44,93.0
25,Chile,6.67,6.705,6.65199995040894,6.476,6.444,6.589399990081788,South America,Santiago,-33.45,-70.666667,72.18,0.0,8.05,49.0
26,Qatar,6.6110000000000015,6.375,6.375,6.374,6.374,6.4218,Asia,Doha,25.28333333333333,51.533333,63.95,0.0,12.66,59.0
27,France,6.575,6.478,6.44199991226196,6.489,6.5920000000000005,6.515199982452392,Europe,Paris,48.86666666666667,2.333333,48.92,0.0,9.22,87.0
28,Argentina,6.574,6.65,6.59899997711182,6.388,6.086,6.459399995422364,South America,Buenos Aires,-34.583333333333336,-58.666667000000004,72.12,0.0,5.75,25.0
29,Czech Republic,6.505,6.596,6.60900020599365,6.711,6.852,6.654600041198732,Europe,Prague,50.08333333333334,14.466667000000001,32.67,0.0,2.3,86.0
30,Uruguay,6.485,6.545,6.4539999961853,6.379,6.292999999999998,6.4311999992370605,South America,Montevideo,-34.85,-56.166667000000004,68.88,20.0,4.61,64.0
31,Colombia,6.477,6.481,6.35699987411499,6.26,6.125,6.339999974822997,,,,,,,,
32,Thailand,6.455,6.474,6.423999786376951,6.072,6.007999999999999,6.2865999572753894,Asia,Bangkok,13.75,100.516667,78.91,0.0,3.44,64.0
33,Saudi Arabia,6.4110000000000005,6.379,6.343999862670901,6.371,6.375,6.37599997253418,Asia,Riyadh,24.65,46.7,53.6,40.0,6.91,50.0
34,Spain,6.329,6.3610000000000015,6.40299987792969,6.31,6.354,6.351399975585937,Europe,Madrid,40.4,-3.683333,49.01,0.0,2.3,61.0
35,Malta,6.3020000000000005,6.488,6.52699995040894,6.627000000000002,6.726,6.533999990081787,Europe,Valletta,35.88333333333333,14.5,54.28,40.0,5.75,82.0
36,Kuwait,6.295,6.239,6.10500001907349,6.082999999999998,6.021,6.148600003814697,Asia,Kuwait City,29.36666666666667,47.966667,54.21,0.0,3.44,70.0
37,El Salvador,6.13,6.068,6.0029997825622585,6.167000000000002,6.252999999999999,6.124199956512452,Central America,San Salvador,13.7,-89.2,80.6,0.0,3.44,78.0
38,Guatemala,6.122999999999998,6.324,6.4539999961853,6.3820000000000014,6.436,6.343799999237059,Central America,Guatemala City,14.616666666666667,-90.516667,58.73,40.0,18.41,72.0
39,Uzbekistan,6.002999999999999,5.987,5.97100019454956,6.096,6.174,6.046200038909912,Asia,Tashkent,41.31666666666667,69.25,41.0,90.0,4.61,93.0
40,Slovakia,5.995,6.0779999999999985,6.09800004959106,6.172999999999999,6.198,6.1084000099182125,Europe,Bratislava,48.15,17.116667,34.57,75.0,4.61,93.0
41,Japan,5.987,5.921,5.92000007629395,5.915,5.886,5.9258000152587895,Asia,Tokyo,35.68333333333333,139.75,51.96,0.0,3.44,43.0
42,South Korea,5.984,5.835,5.837999820709231,5.875,5.895,5.885399964141847,Asia,Seoul,37.55,126.983333,47.28,40.0,4.61,76.0
43,Ecuador,5.975,5.976,6.00799989700317,5.973,6.028,5.9919999794006324,South America,Quito,-0.21666666666666667,-78.5,55.4,75.0,5.75,94.0
44,Bahrain,5.96,6.218,6.08699989318848,6.105,6.199,6.113799978637696,Asia,Manama,26.23333333333333,50.566666999999995,64.4,0.0,13.8,55.0
45,Italy,5.948,5.977,5.96400022506714,6.0,6.223,6.022400045013428,Europe,Rome,41.9,12.483333,37.02,1.0,5.12,45.0
46,Bolivia,5.89,5.822,5.82299995422363,5.752000000000002,5.779,5.813199990844726,South America,La Paz,-16.5,-68.15,44.6,75.0,5.75,81.0
47,Moldova,5.8889999999999985,5.897,5.837999820709231,5.64,5.529,5.758599964141847,,,,,,,,
48,Paraguay,5.877999999999999,5.5379999999999985,5.493000030517581,5.681,5.7429999999999986,5.666600006103517,,,,,,,,
49,Kazakhstan,5.855,5.919,5.8189997673034695,5.79,5.809,5.838399953460693,,,,,,,,
50,Slovenia,5.848,5.768,5.75799989700317,5.948,6.1179999999999986,5.887999979400633,Europe,Ljubljana,46.05,14.516667000000002,40.03,75.0,4.61,93.0
51,Lithuania,5.832999999999998,5.813,5.90199995040894,5.952000000000001,6.149,5.929799990081787,Europe,Vilnius,54.68333333333333,25.316667000000002,19.8,90.0,8.05,68.0
52,Nicaragua,5.8279999999999985,5.992000000000001,6.07100009918213,6.141,6.105,6.027400019836426,Central America,Managua,12.133333333333333,-86.25,82.4,20.0,6.91,54.0
53,Peru,5.824,5.7429999999999986,5.71500015258789,5.6629999999999985,5.697,5.728400030517577,South America,Lima,-12.05,-77.05,70.77,0.0,3.44,83.0
54,Belarus,5.813,5.8020000000000005,5.5689997673034695,5.483,5.323,5.597999953460693,Europe,Minsk,53.9,27.566667,6.8,40.0,6.71,85.0
55,Poland,5.791,5.835,5.97300004959106,6.122999999999998,6.182,5.980800009918213,Europe,Warsaw,52.25,21.0,35.76,75.0,6.91,100.0
56,Malaysia,5.77,6.005,6.08400011062622,6.322,5.339,5.904000022125244,Asia,Kuala Lumpur,3.1666666666666665,101.7,81.7,20.0,6.44,65.0
57,Croatia,5.759,5.488,5.2930002212524405,5.3210000000000015,5.432,5.458600044250488,,,,,,,,
58,Libya,5.754,5.615,5.525000095367429,5.566,5.525,5.597000019073485,Africa,Tripoli,32.88333333333333,13.166667000000002,59.74,96.0,8.08,48.0
59,Russia,5.716,5.856,5.962999820709231,5.81,5.648,5.798599964141847,Europe,Moscow,55.75,37.6,-0.8,0.0,2.59,78.0
60,Jamaica,5.709,5.51,5.31099987030029,5.89,5.89,5.661999974060057,North America,Kingston,18.0,-76.8,76.03,20.0,20.71,69.0
