,City,Temp,Humidity,Cloudiness,Wind Speed,Date
0,Hargeisa,60.06,91,87,16.96,1613785213
1,Port-aux-Français,38.28,93,68,19.55,1613785213
2,Jerusalem,43.0,95,5,4.68,1613785154
3,Mariehamn,33.8,100,90,6.91,1613785089
4,Yaren,81.36,78,5,15.77,1613785213
5,Marigot,78.04,69,20,10.36,1613785213
6,Laayoune,57.2,94,0,4.61,1613785213
7,Kabul,41.0,48,75,4.61,1613785213
8,Tirana,37.4,93,20,4.61,1613785049
9,Algiers,44.6,100,40,4.5,1613785213
10,Pago Pago,84.2,84,75,8.05,1613785003
11,Andorra la Vella,36.84,74,0,5.03,1613785213
12,Luanda,78.8,78,75,4.61,1613785038
13,The Valley,77.92,69,20,10.36,1613785214
14,St. John's,21.04,73,40,13.8,1613785079
15,Buenos Aires,72.12,25,0,5.75,1613785214
16,Yerevan,30.2,93,90,1.14,1613785214
17,Oranjestad,80.6,74,20,21.85,1613785185
18,Canberra,82.62,41,0,5.75,1613785041
19,Vienna,37.81,93,98,3.44,1613785214
20,Baku,39.2,75,75,11.5,1613785214
21,Nassau,30.96,86,90,9.22,1613784930
22,Manama,64.4,55,0,13.8,1613785100
23,Dhaka,69.8,78,75,5.75,1613785010
24,Bridgetown,78.8,65,40,21.85,1613785214
25,Minsk,6.8,85,40,6.71,1613785030
26,Brussels,50.54,81,0,9.22,1613785214
27,Belmopan,68.0,76,88,5.32,1613785214
28,Porto-Novo,78.39,80,0,5.75,1613785214
29,Hamilton,22.5,54,90,9.22,1613785094
30,Thimphu,44.31,57,0,0.43,1613785214
31,La Paz,44.6,81,75,5.75,1613785098
32,Sarajevo,39.09,100,90,1.14,1613785124
33,Gaborone,71.6,73,75,3.44,1613785024
34,Brasília,68.95,94,40,1.14,1613785158
35,Road Town,76.66,79,0,17.0,1613785207
36,Brunei Town,82.2,78,75,5.75,1613785215
37,Sofia,34.14,93,90,3.44,1613785076
38,Ouagadougou,75.2,12,0,6.91,1613785191
39,Yangon,73.4,83,40,4.61,1613785215
40,Bujumbura,70.36,72,100,1.99,1613785215
41,Phnom Penh,75.2,57,20,14.97,1613785022
42,Yaoundé,70.66,87,81,6.26,1613785176
43,Ottawa,17.37,92,90,2.3,1613785196
44,Praia,68.0,83,40,14.97,1613785215
45,George Town,80.47,57,20,10.36,1613785215
46,Bangui,68.16,44,96,0.74,1613785215
47,N'Djamena,64.4,14,0,10.36,1613785215
48,Santiago,72.18,49,0,8.05,1613785016
49,Beijing,49.19,31,0,4.47,1613785215
50,Flying Fish Cove,78.8,89,90,12.66,1613785215
51,West Island,82.4,74,40,11.5,1613785215
52,Bogotá,57.2,88,40,6.91,1613785071
53,Moroni,80.83,72,100,1.28,1613785216
54,Kinshasa,72.41,87,100,3.58,1613785037
55,Brazzaville,73.04,85,100,4.16,1613785216
56,Avarua,75.2,94,40,10.36,1613785216
57,San Jose,55.81,72,40,13.8,1613785216
58,Yamoussoukro,75.09,94,33,3.62,1613785216
59,Donji grad,46.08,81,20,3.44,1613785216
60,Havana,76.1,83,75,11.5,1613785216
61,Willemstad,78.8,73,20,16.11,1613785216
62,Nicosia,37.4,81,20,6.91,1613785191
63,Prague,32.67,86,0,2.3,1613785094
64,Copenhagen,37.13,93,90,10.36,1613785082
65,Djibouti,68.65,89,86,4.61,1613785216
66,Roseau,76.91,76,8,16.64,1613785216
67,Santo Domingo,76.17,83,40,4.61,1613785107
68,Quito,55.4,94,75,5.75,1613785201
69,Cairo,47.93,87,40,2.3,1613785215
70,San Salvador,80.6,78,0,3.44,1613785216
71,Malabo,80.56,75,0,7.63,1613785217
72,Asmara,50.58,94,19,3.69,1613785217
73,Tallinn,18.46,79,90,4.61,1613784953
74,Addis Ababa,56.66,82,100,3.11,1613785217
75,Stanley,50.2,76,40,11.5,1613785217
76,Tórshavn,46.4,93,90,14.97,1613785217
77,Suva,87.8,66,75,10.36,1613785217
78,Helsinki,23.04,74,40,5.75,1613785085
79,Paris,48.92,87,0,9.22,1613785075
80,Papeete,84.11,61,75,13.8,1613785217
81,Libreville,77.0,94,20,4.61,1613785217
82,City of Banjul,73.4,60,27,5.75,1613785217
83,Tbilisi,33.8,69,20,19.57,1613785086
84,Berlin,34.63,93,0,3.44,1613785157
85,Accra,82.4,83,0,8.05,1613784981
86,Gibraltar,59.0,77,90,9.22,1613785126
87,Athens,45.0,75,20,2.71,1613785108
88,Nuuk,6.4,66,20,4.61,1613785205
89,St. George's,77.0,83,20,10.36,1613785217
90,Hagåtña,85.35,65,40,13.8,1613785217
91,Guatemala City,58.73,72,40,18.41,1613785138
92,St Peter Port,50.72,81,99,18.41,1613785218
93,Conakry,82.4,78,75,9.22,1613784967
94,Bissau,75.09,45,94,5.61,1613785218
95,George Town,80.47,57,20,10.36,1613785215
96,Port-au-Prince,80.6,47,0,16.11,1613785152
97,Vatican City,49.39,76,0,5.75,1613785177
98,Tegucigalpa,73.4,60,75,16.11,1613785007
99,Budapest,37.02,100,90,2.3,1613785148
100,Reykjavik,31.78,80,0,7.0,1613784961
101,New Delhi,55.4,94,90,4.61,1613785152
102,Jakarta,78.71,94,40,3.44,1613784924
103,Tehran,35.83,35,0,4.61,1613785029
104,Baghdad,46.4,57,0,6.91,1613784979
105,Dublin,54.57,72,20,4.61,1613785219
106,Douglas,21.06,68,75,4.92,1613785219
107,Jerusalem,43.0,95,5,4.68,1613785154
108,Rome,37.02,45,1,5.12,1613785219
109,Kingston,76.03,69,20,20.71,1613785028
110,Tokyo,51.96,43,0,3.44,1613785103
111,Saint Helier,51.35,76,71,23.02,1613785219
112,Amman,41.0,87,40,3.44,1613785219
113,Nur-Sultan,-18.4,76,0,4.47,1613785042
114,Nairobi,64.4,68,20,4.47,1613785141
115,Tarawa,84.2,74,20,11.5,1613785219
116,Pyongyang,41.23,62,0,5.06,1613785219
117,Seoul,47.28,76,40,4.61,1613785200
118,Pristina,36.72,70,0,2.3,1613785219
119,Kuwait City,54.21,70,0,3.44,1613785219
120,Bishkek,33.8,93,90,2.24,1613785115
121,Vientiane,68.68,77,0,2.93,1613785219
122,Rīga,14.0,73,75,5.75,1613785160
123,Beirut,36.0,94,76,5.23,1613785220
124,Maseru,52.77,42,0,0.98,1613785220
125,Monrovia,78.64,84,10,4.32,1613785088
126,Tripoli,59.74,48,96,8.08,1613785220
127,Vaduz,38.59,84,34,9.33,1613785220
128,Vilnius,19.8,68,90,8.05,1613785220
129,Luxembourg Province,42.31,67,96,9.15,1613785079
130,Skopje,28.4,93,40,0.76,1613785220
131,Antananarivo,68.0,88,20,5.75,1613785167
132,Lilongwe,67.48,79,100,1.7,1613785220
133,Kuala Lumpur,81.7,65,20,6.44,1613785220
134,Malé,80.6,83,20,8.05,1613785127
135,Bamako,82.4,18,30,5.75,1613785220
136,Valletta,54.28,82,40,5.75,1613784967
137,Majuro,86.0,74,75,10.36,1613785220
138,Nouakchott,64.4,82,0,9.22,1613785220
139,Port Louis,78.08,94,40,3.44,1613785221
140,Mexico City,69.39,18,1,9.22,1613784971
141,Palikir,87.8,70,75,5.75,1613785221
142,Chișinău,19.4,86,0,8.05,1613785191
143,Monaco,49.33,87,75,6.91,1613785154
144,Ulaanbaatar,21.2,79,75,2.24,1613785221
145,Podgorica,37.58,87,75,1.14,1613785221
146,Plymouth,31.98,93,90,11.5,1613785221
147,Rabat,51.33,100,40,8.05,1613785058
148,Maputo,77.0,83,40,25.32,1613785221
149,Windhoek,65.71,59,5,6.91,1613785175
150,Kathmandu,44.6,87,20,3.44,1613785142
151,Amsterdam,48.65,81,0,11.5,1613784975
152,Noumea,89.6,66,40,9.22,1613784956
153,Wellington,69.13,68,5,21.85,1613785221
154,Managua,82.4,54,20,6.91,1613785221
155,Niamey,71.6,11,0,5.75,1613785221
156,Abuja,68.09,24,63,4.76,1613785221
157,Alofi,86.0,58,65,11.5,1613785221
158,Kingston,76.03,69,20,20.71,1613785028
159,Saipan,84.45,66,1,17.27,1613785222
160,Oslo,34.43,85,100,1.99,1613785170
161,Muscat,71.6,83,20,5.75,1613785222
162,Islamabad,54.0,71,99,4.59,1613785008
163,Melekeok,84.2,84,75,10.36,1613785222
164,Panama City,77.0,88,90,4.61,1613785010
165,Port Moresby,83.66,76,92,9.28,1613785154
166,Asunción,78.8,57,0,5.75,1613784964
167,Lima,70.77,83,0,3.44,1613785054
168,Manila,78.48,61,75,10.36,1613785222
169,Adamstown,78.39,73,1,10.07,1613784963
170,Warsaw,35.76,100,75,6.91,1613785007
171,Lisbon,58.66,88,75,20.71,1613785112
172,San Juan,71.64,36,0,7.65,1613785222
173,Doha,63.95,59,0,12.66,1613785136
174,Bucharest,27.63,68,0,1.14,1613785171
175,Moscow,-0.8,78,0,2.59,1613785222
176,Kigali,59.07,93,100,0.96,1613785222
177,Gustavia,77.25,77,1,8.01,1613785222
178,Jamestown,18.88,86,90,9.22,1613785028
179,Basseterre,75.0,87,1,1.99,1613785223
180,Castries,78.8,73,20,10.36,1613784970
181,Saint-Pierre,76.62,83,0,4.61,1613785223
182,Kingstown,77.04,78,3,17.87,1613785208
183,Apia,86.0,79,75,9.22,1613784964
184,San Marino,46.56,81,75,3.44,1613785223
185,São Tomé,79.93,75,100,5.97,1613785223
186,Riyadh,53.6,50,40,6.91,1613785207
187,Dakar,64.4,88,2,6.91,1613785201
188,Belgrade,40.05,87,40,2.3,1613785223
189,Hong Kong,64.71,75,74,1.01,1613785155
