,Country,Happiness Score_2015,Happiness Score_2016,Happiness Score_2017,Happiness Score_2018,Happiness Score_2019,Avg Happiness,ContinentName,City,CapitalLatitude,CapitalLongitude,Temp,Cloudiness,Wind Speed,Humidity
0,Denmark,7.527,7.526,7.52199983596802,7.555,7.6,7.5459999671936036,Europe,Copenhagen,55.66666666666666,12.583333,31.75,90.0,16.11,80.0
1,Norway,7.522,7.497999999999998,7.537000179290769,7.5939999999999985,7.5539999999999985,7.541000035858153,Europe,Oslo,59.91666666666666,10.75,24.3,100.0,1.01,72.0
2,Finland,7.4060000000000015,7.4129999999999985,7.468999862670901,7.6320000000000014,7.769,7.537799972534182,Europe,Helsinki,60.16666666666666,24.933332999999998,21.92,0.0,8.05,79.0
3,Switzerland,7.5870000000000015,7.508999999999999,7.49399995803833,7.487,7.48,7.511399991607666,Europe,Bern,46.91666666666666,7.466667,37.29,75.0,3.44,60.0
4,Iceland,7.561,7.501,7.50400018692017,7.495,7.494,7.511000037384035,Europe,Reykjavik,64.15,-21.95,41.95,75.0,12.66,81.0
5,Netherlands,7.377999999999999,7.338999999999999,7.3769998550415,7.441,7.487999999999999,7.4045999710083,Europe,Amsterdam,52.35,4.9166669999999995,39.87,75.0,9.22,93.0
6,Canada,7.427,7.404,7.31599998474121,7.3279999999999985,7.278,7.350599996948242,Central America,Ottawa,45.41666666666666,-75.7,21.78,90.0,5.75,73.0
7,Sweden,7.364,7.291,7.28399991989136,7.314,7.343,7.319199983978272,Europe,Stockholm,59.33333333333334,18.05,22.98,0.0,4.61,80.0
8,New Zealand,7.286,7.334,7.31400012969971,7.324,7.307,7.313000025939942,Australia,Wellington,-41.3,174.783333,56.03,75.0,28.77,100.0
9,Australia,7.284,7.313,7.28399991989136,7.272,7.228,7.276199983978271,Australia,Canberra,-35.266666666666666,149.133333,55.74,54.0,7.2,82.0
