,City,Temp,Humidity,Cloudiness,Wind Speed,Date
0,Hargeisa,61.5,92,28,13.87,1613758919
1,Port-aux-Français,37.13,89,71,16.33,1613758919
2,Jerusalem,44.74,94,95,3.0,1613758919
3,Mariehamn,33.8,93,90,12.66,1613758919
4,Yaren,80.92,80,58,16.75,1613758919
5,Marigot,82.29,57,20,16.11,1613758920
6,Laayoune,71.6,43,0,13.8,1613758920
7,Kabul,48.2,34,75,2.3,1613758920
8,Tirana,46.4,87,0,2.3,1613758679
9,Algiers,57.2,88,75,6.91,1613758920
10,Pago Pago,78.8,94,40,3.44,1613758920
11,Andorra la Vella,53.67,44,20,5.75,1613758920
12,Luanda,82.4,69,75,10.36,1613758920
13,The Valley,82.4,61,20,19.57,1613758920
14,St. John's,23.47,68,75,19.57,1613758749
15,Buenos Aires,83.71,32,0,10.36,1613758789
16,Yerevan,33.8,75,90,6.91,1613758920
17,Oranjestad,86.0,54,20,20.71,1613758921
18,Canberra,60.24,94,18,5.75,1613758820
19,Vienna,41.34,87,100,2.3,1613758847
20,Baku,35.6,87,40,6.91,1613758659
21,Nassau,30.56,86,90,10.36,1613758921
22,Manama,64.4,52,0,14.97,1613758921
23,Dhaka,75.2,64,40,6.73,1613758681
24,Bridgetown,84.2,54,20,25.32,1613758921
25,Minsk,10.2,67,0,8.95,1613758650
26,Brussels,49.41,76,0,8.05,1613758886
27,Belmopan,80.01,61,27,2.98,1613758922
28,Porto-Novo,86.0,51,98,6.91,1613758861
29,Hamilton,26.1,59,75,4.61,1613758808
30,Thimphu,36.77,79,45,2.77,1613758922
31,La Paz,59.0,51,75,8.05,1613758923
32,Sarajevo,42.4,100,75,1.14,1613758923
33,Gaborone,80.6,69,20,1.14,1613758882
34,Brasília,78.42,65,75,13.8,1613758923
35,Road Town,80.94,69,40,14.97,1613758810
36,Brunei Town,78.42,89,75,3.44,1613758923
37,Sofia,36.09,86,100,13.8,1613758674
38,Ouagadougou,87.8,7,13,11.5,1613758734
39,Yangon,77.0,83,40,1.14,1613758923
40,Bujumbura,77.0,78,75,2.42,1613758923
41,Phnom Penh,78.8,50,20,8.05,1613758923
42,Yaoundé,78.46,42,4,3.11,1613758923
43,Ottawa,22.17,68,90,12.66,1613758818
44,Praia,75.2,50,0,17.27,1613758923
45,George Town,78.75,69,20,6.91,1613758923
46,Bangui,82.96,28,37,3.83,1613758689
47,N'Djamena,75.2,12,56,8.05,1613758874
48,Santiago,81.88,32,0,6.91,1613758864
49,Beijing,40.68,51,0,2.24,1613758883
50,Flying Fish Cove,77.0,88,90,10.36,1613758924
51,West Island,82.4,78,40,11.5,1613758924
